Done in 1944.824 sec

SUMMARY: PASSRATE  142  99.301%  of  143  (46 were waived)

Test                        Status          Tops               Ops        SimCycles        SimTimeSec    SimCycles/sec  Description
3-rn50-16_wave              WAIVE-S9-S1    0.165        5.9007e+07           357874            76.856          4656.44  A unit test
3-rn50-17_wave              WAIVE-S9-S1    0.386       5.13802e+07           133187            28.196          4723.57  A unit test
3-rn50-18_wave              WAIVE-S9-S1    0.151       1.28451e+07            85347            18.184          4693.64  A unit test
3-rn50-19_wave              WAIVE-S9-S1    0.068       1.67772e+07           247107            53.861          4587.86  A unit test
3-rn50-20_wave              WAIVE-S9-S1    0.085       6.71089e+07           788547           289.212          2726.54  A unit test
3-rn50-t00_wave             PASS           0.000                 5              396             0.091             4362  A unit test
3-rn50_pool2                PASS           0.032            809091            25561             5.193          4922.52  A unit test
3-rn50_pool2_wave           PASS_WAIVE_WAVESC   0.038            809091            21223             4.556          4658.21  A unit test
4-rn50_nne_fc               PASS           0.000       7.66805e+09                1            -1.000                0  Full size networks
6-alexnet                   WAIVE-BENCH    0.000       1.68689e+11                1            -1.000                0  Full size networks
7-rn50_nne_fc_wave          WAIVE-WAVESC   0.000       7.66805e+09                1            -1.000                0  Full size networks using wave scheduler
7-rn50_nne_fc_waveopt       PASS_WAIVE-WAVESC   0.000       7.66805e+09                1            -1.000                0  Full size networks using wave scheduler
7-rn50_nne_fp32_waveopt     PASS           0.000       7.66805e+09                1            -1.000                0  Full size networks using wave scheduler
8-resnet152                 WAIVE-BENCH    0.000       2.18177e+10                1            -1.000                0  Full size networks
8-resnet50                  WAIVE-BENCH    0.000       6.96883e+09                1            -1.000                0  Full size networks
8-resnet50_fp16_keras       WAIVE-BENCH    0.000       7.66825e+09                1            -1.000                0  Full size networks
8-resnet50_fp16_keras_opt   WAIVE-BENCH    0.000       7.66825e+09                1            -1.000                0  Full size networks
8-resnet50_fp16_wave        WAIVE-BENCH    0.000       7.66825e+09                1            -1.000                0  Full size networks using wave scheduler
8-resnet50_fp16_wave_b2     WAIVE-BENCH    0.000       1.53365e+10                1            -1.000                0  Full size networks using wave scheduler
8-resnet50_fp32_keras       WAIVE-BENCH    0.000       7.66825e+09                1            -1.000                0  Full size networks
8-resnet50_fp32_keras_opt   WAIVE-BENCH    0.000       7.66825e+09                1            -1.000                0  Full size networks
8-rn50_nne_auto             WAIVE-NNE      0.000                 7                1            -1.000                0  Full size networks
8-rn50_nne_conv             PASS_WAIVE-NNE   0.000                 7            22950             8.548          2684.94  Full size networks
