SUMMARY: PASSRATE  72  100.000%  of  72  (24 were waived)

Test                        Status          Tops               Ops        SimCycles        SimTimeSec    SimCycles/sec  Description
6-alexnet                   WAIVE-BENCH    0.000       1.68689e+11                1            -1.000                0  Full size networks
8-resnet152                 WAIVE-BENCH    0.000       2.18177e+10                1            -1.000                0  Full size networks
8-resnet50                  WAIVE-BENCH    0.000       6.96883e+09                1            -1.000                0  Full size networks
8-resnet50_fp16_keras       WAIVE-BENCH    0.000       7.66825e+09                1            -1.000                0  Full size networks
8-resnet50_fp16_keras_opt   WAIVE-BENCH    0.000       7.66825e+09                1            -1.000                0  Full size networks
8-resnet50_fp16_wave        WAIVE-WAVESC   0.000       7.66825e+09                1            -1.000                0  Full size networks using wave scheduler
8-resnet50_fp16_wave_b2     WAIVE-WAVESC   0.000       1.53365e+10                1            -1.000                0  Full size networks using wave scheduler
8-resnet50_fp32_keras       WAIVE-BENCH    0.000       7.66825e+09                1            -1.000                0  Full size networks
8-resnet50_fp32_keras_opt   WAIVE-BENCH    0.000       7.66825e+09                1            -1.000                0  Full size networks
8-rn50_nne_auto             WAIVE-NNE      0.000                 7                1            -1.000                0  Full size networks
8-rn50_nne_conv             WAIVE-NNE      0.000                 0                1            -1.000                0  Full size networks
