Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-116conv_tanh_wave,PASS,0.0006197936568589989,17842,0.0012589710633271961,36242,28787,3.5044299999999997,8214.459983506591,25.102306127548218,Resnet-like network with 116 Conv2D and Relu layer pairs
0-11conv_tanh_wave,PASS,0.0005780154924382147,1567,0.00116820361490225,3167,2711,0.311854,8693.170522103292,15.055710077285767,Two Conv2D layers back to back
0-1avgpool_wave_h17c768m768k3d1_same,PASS,0.019030390536758528,3420275,0.02346385907515287,4217089,179727,0.28157200000000004,638298.5524128819,24.07958483695984,A unit test
0-1avgpool_wave_h1c192m192k1d1_same,PASS,0.0007435567010309279,577,0.0007435567010309279,577,776,0.025893,29969.489823504424,13.034912824630737,A unit test
0-1avgpool_wave_h1c192m192k1d1_valid,PASS,0.0007435567010309279,577,0.0007435567010309279,577,776,0.024932,31124.659072677685,13.035548686981201,A unit test
0-1avgpool_wave_h35c192m192k3d1_same,PASS,0.019918533443565995,4023484,0.02212310578869983,4468801,201997,0.207194,974917.2273328379,24.07754898071289,A unit test
0-1avgpool_wave_h35c256m256k3d1_same,PASS,0.02024600619685779,5364645,0.02248682318575855,5958401,264973,0.293468,902902.5311107173,27.102020502090454,A unit test
0-1avgpool_wave_h35c288m288k3d1_same,PASS,0.019769477201257858,6035226,0.02195755044549266,6703201,305280,0.33708600000000005,905644.2569551982,28.110785722732544,A unit test
0-1avgpool_wave_h71c192m192k3d1,PASS,0.01978636480646299,17448032,0.02085408376529931,18389569,881821,1.917655,459843.4024889774,57.25578999519348,A unit test
0-1avgpool_wave_h71c1m1k3d1_same,PASS,0.001904438576637747,90876,0.0020072090196571525,95780,47718,0.157887,302228.8092116514,14.038020133972168,A unit test
0-1avgpool_wave_h71c1m1k3d1_valid,PASS,0.001975830157866086,90740,0.001975830157866086,90740,45925,0.087712,523588.5625684057,14.03919243812561,A unit test
0-1avgpool_wave_h8c1280m1280k3d1_same,PASS,0.014837883193727124,1025639,0.022517555661646628,1556481,69123,0.082648,836354.1767495886,18.051015377044678,A unit test
0-1avgpool_wave_h8c2048m2048k3d1_same,PASS,0.01483812107238121,1641022,0.022517916723179168,2490369,110595,0.118911,930065.3429876126,20.05521869659424,A unit test
0-1clipbyvalue_wave,WAIVE_KAENA636,0,0,0,0,0,-1e-06,0,3.005897283554077,A unit test
0-1concat_h16c63m127ni5,WAIVE_INCEPTIONV3,0,20147487,0,20147487,0,-1e-06,0,17.058568477630615,A unit test
0-1concat_h17c1m1ni2,WAIVE_INCEPTIONV3,0,2899,0,2899,0,-1e-06,0,12.042583465576172,A unit test
0-1concat_h1c1m10ni5,WAIVE_INCEPTIONV3,0,274,0,274,0,-1e-06,0,14.06727933883667,A unit test
0-1concat_h1c1m1ni2,WAIVE_INCEPTIONV3,0,19,0,19,0,-1e-06,0,13.059457302093506,A unit test
