Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-10conv_relu_wave,PASS,0.0005688960515713136,1412,0.0011490733279613215,2852,2482,0.295632,8395.57287438437,14.041269540786743,Resnet-like network with 10 Conv2D and Relu layer pairs
0-116conv_tanh_wave,PASS,0.0005971817786256987,17842,0.0012130401312046056,36242,29877,3.375381,8851.445214629104,27.118110418319702,Resnet-like network with 116 Conv2D and Relu layer pairs
0-1avgpool_wave_h17c768m768k3d1_same,PASS_WAIVE_INCEPTIONV3,0.01903113176051636,3420275,0.02346477298019141,4217089,179720,23.124757,7771.7573421420175,57.17058086395264,A unit test
0-1avgpool_wave_h1c192m192k1d1_same,PASS_WAIVE_INCEPTIONV3,0.0007425997425997426,577,0.0007425997425997426,577,777,0.109885,7071.0288028393325,14.041620969772339,A unit test
0-1avgpool_wave_h1c192m192k1d1_valid,PASS_WAIVE_INCEPTIONV3,0.0007425997425997426,577,0.0007425997425997426,577,777,0.091081,8530.868128369255,14.042294979095459,A unit test
0-1avgpool_wave_h35c192m192k3d1_same,PASS_WAIVE_INCEPTIONV3,0.0199188292721566,4023484,0.02212343435943642,4468801,201994,30.601736,6600.736637947599,68.18495774269104,A unit test
0-1avgpool_wave_h35c256m256k3d1_same,PASS_WAIVE_INCEPTIONV3,0.02024623542287806,5364645,0.02248707778239046,5958401,264970,48.465050000000005,5467.238762778537,91.2269287109375,A unit test
0-1avgpool_wave_h35c288m288k3d1_same,PASS_WAIVE_INCEPTIONV3,0.019769736238682376,6035226,0.021957838153015635,6703201,305276,62.521597,4882.728763310381,109.25434899330139,A unit test
0-1avgpool_wave_h71c192m192k3d1,WAIVE_INCEPTIONV3,0,17448032,0,18389569,0,-1e-06,0,25.08212447166443,A unit test
0-1avgpool_wave_h71c1m1k3d1_same,PASS_WAIVE_INCEPTIONV3,0.0019041193479445166,90876,0.00200687256422076,95780,47726,4.883637,9772.634616373001,20.058404684066772,A unit test
0-1avgpool_wave_h71c1m1k3d1_valid,PASS_WAIVE_INCEPTIONV3,0.0019754000217698923,90740,0.0019754000217698923,90740,45935,4.48004,10253.256667351185,19.04883885383606,A unit test
0-1avgpool_wave_h8c1280m1280k3d1_same,PASS_WAIVE_INCEPTIONV3,0.014838097855964814,1025639,0.02251788142704204,1556481,69122,7.931539,8714.828231948428,26.084458827972412,A unit test
0-1avgpool_wave_h8c2048m2048k3d1_same,PASS_WAIVE_INCEPTIONV3,0.014838255239886432,1641022,0.022518120332025243,2490369,110594,12.499615,8847.79251200937,39.12686204910278,A unit test
0-1conv0_b16_wave,PASS,4.377682403433476e-05,51,4.377682403433476e-05,51,1165,0.168281,6922.944360920128,15.03934359550476,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h16_wave,PASS,0.0007811550151975684,771,0.0007811550151975684,771,987,0.236991,4164.71511576389,15.04421067237854,"Existance test for 1 conv2D layer with 1x1 filter, 16x16 image, 1 input channel"
0-1conv0_c1h2_wave,PASS,5.319148936170213e-05,15,5.319148936170213e-05,15,282,0.038911,7247.307959188918,15.046018123626709,"Existance test for 1 conv2D layer with 1x1 filter, 2x2 image, 1 input channel"
0-1conv0_ckpt_wave,PASS,2.1818181818181818e-05,6,2.1818181818181818e-05,6,275,0.025668,10713.729156926913,9.035206317901611,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r2s2_wave,PASS,0.00107202216066482,774,0.00107202216066482,774,722,0.100751,7166.1819733799175,17.077589988708496,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r3s2_wave,PASS,0.0012844311377245509,1287,0.0014161676646706586,1419,1002,0.28215,3551.3024986709197,21.081281185150146,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h55c256m1_wave,PASS,0.007434518419444329,2323458,0.007434518419444329,2323458,312523,77.619945,4026.3233889176295,107.22767663002014,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_padvalid_wave,PASS,0.0019555345360234943,1281804,0.0019555345360234943,1281804,655475,148.338983,4418.764283964384,277.5429627895355,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_qemu_wave,PASS,0,6,0,6,0,-1e-06,0,1236.6811809539795,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_wave,PASS,2.1818181818181818e-05,6,2.1818181818181818e-05,6,275,0.092352,2977.7373527373525,29.07389211654663,Existence test for wave scheduler
0-1conv0m16_wave,PASS,0.00015789473684210527,51,0.00015789473684210527,51,323,0.12834399999999999,2516.6739387895036,30.074546337127686,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0m4_wave,PASS,5.319148936170213e-05,15,5.319148936170213e-05,15,282,0.062938,4480.599955511774,34.05881428718567,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0m8_wave,PASS,9.121621621621621e-05,27,9.121621621621621e-05,27,296,0.0649,4560.862865947612,39.06701445579529,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv1avgpool_wave,PASS,0.00025075528700906345,83,0.00025075528700906345,83,331,0.138504,2389.822676601398,39.06634545326233,Two Conv2D layers back to back
0-1conv1avgpool_wave_h16k3d1,WAIVE_INCEPTIONV3,0.0014155969191270862,4411,0.0017262516046213094,5379,3116,0.807774,3857.51460185646,39.066818952560425,Two Conv2D layers back to back
0-1conv1avgpool_wave_h17k3d1,WAIVE_INCEPTIONV3,0,5034,0,6072,0,-1e-06,0,31.054556608200073,Two Conv2D layers back to back
0-1conv1avgpool_wave_h18k3d1,WAIVE_INCEPTIONV3,0,5698,0,6807,0,-1e-06,0,32.054309129714966,Two Conv2D layers back to back
0-1conv1avgpool_wave_h32k3d1,WAIVE_INCEPTIONV3,0,19402,0,21507,0,-1e-06,0,33.05882143974304,Two Conv2D layers back to back
0-1conv1avgpool_wave_h35c128m128k3d1,WAIVE_INCEPTIONV3,0,42839508,0,43136386,0,-1e-06,0,38.06410312652588,Two Conv2D layers back to back
0-1conv1avgpool_wave_h35c16k3d1,WAIVE_INCEPTIONV3,0,65497,0,67602,0,-1e-06,0,36.06145763397217,Two Conv2D layers back to back
0-1conv1avgpool_wave_h35c192m192k3d1,WAIVE_INCEPTIONV3,0,94377149,0,94822466,0,-1e-06,0,57.09879446029663,Two Conv2D layers back to back
0-1conv1avgpool_wave_h35c196k3d1,WAIVE_INCEPTIONV3,0,618637,0,620742,0,-1e-06,0,35.0605583190918,Two Conv2D layers back to back
0-1conv1avgpool_wave_h35k3d1,WAIVE_INCEPTIONV3,0,19402,0,21507,0,-1e-06,0,30.049180507659912,Two Conv2D layers back to back
0-1conv1avgpool_wave_k3d1,WAIVE_INCEPTIONV3,0.00041822429906542057,179,0.0007920560747663551,339,428,0.159828,2677.8787196235953,40.06565308570862,Two Conv2D layers back to back
0-1conv1ba1_fp32_wave,PASS,0.1994792601557511,226796349,0.2084457465728243,236990724,1136942,314.438485,3615.7851352069706,512.8250863552094,Two Conv2D layers back to back
0-1conv1ba1_h1c64m64_fp32_wave,PASS,0.0031879468845760982,12484,0.0031879468845760982,12484,3916,1.025989,3816.8050534654853,37.063112020492554,Two Conv2D layers back to back
0-1conv1ba1_h1c64m64_wave,PASS,0.0055435168738898755,12484,0.0055435168738898755,12484,2252,1.16077,1940.0914909930475,40.06910014152527,Two Conv2D layers back to back
0-1conv1ba1_h4c1m1_fp32_wave,PASS,0.00021341463414634146,70,0.00021341463414634146,70,328,0.170546,1923.2347870955637,38.06300115585327,Two Conv2D layers back to back
0-1conv1ba1_h4c2m2_fp32_wave,PASS,0.0005611111111111111,202,0.0005611111111111111,202,360,0.161867,2224.048138286371,41.06683826446533,Two Conv2D layers back to back
0-1conv1ba1_h4c2m2_wave,PASS,0.0006047904191616766,202,0.0006047904191616766,202,334,0.102145,3269.861471437662,41.06766748428345,Two Conv2D layers back to back
0-1conv1ba1_h55c1m1_b2_wave,PASS,0.0028460905349794235,24206,0.0028460905349794235,24206,8505,2.2086379999999997,3850.7894910800237,47.076764822006226,Two Conv2D layers back to back
0-1conv1ba1_h55c1m1_fp32_wave,PASS,0.0010729415935478153,12106,0.0010729415935478153,12106,11283,4.428145,2548.019543172141,41.06691884994507,Two Conv2D layers back to back
0-1conv1ba1_h55c1m1_wave,PASS,0.002985450061652281,12106,0.002985450061652281,12106,4055,1.2624270000000002,3212.066915552344,40.0667405128479,Two Conv2D layers back to back
0-1conv1ba1_wave,PASS,0.004790732436472346,12820,0.004790732436472346,12820,2676,1.195842,2237.753816975821,39.068116903305054,Two Conv2D layers back to back
0-1conv1maxpool_k3d2_wave,WAIVE_WAVESC,0,91,0,603,0,-1e-06,0,32.05482578277588,Two Conv2D layers back to back
0-1conv1maxpool_wave_h17c128k3d1,WAIVE_INCEPTIONV3,0,115156,0,115156,0,-1e-06,0,28.050744771957397,Two Conv2D layers back to back
0-1conv1maxpool_wave_h17c196k3d1,WAIVE_INCEPTIONV3,0,174180,0,174180,0,-1e-06,0,29.05559206008911,Two Conv2D layers back to back
0-1conv1maxpool_wave_h17k3d1,WAIVE_INCEPTIONV3,0,4920,0,4920,0,-1e-06,0,28.0543372631073,Two Conv2D layers back to back
0-1conv1maxpool_wave_h71k3d1,WAIVE_INCEPTIONV3,0,100824,0,100824,0,-1e-06,0,31.057313919067383,Two Conv2D layers back to back
0-1conv1maxpool_wave_k3d1,PASS_WAIVE_INCEPTIONV3,0.0003504273504273504,123,0.0003504273504273504,123,351,0.101712,3450.920245398773,36.06880331039429,Two Conv2D layers back to back
0-1conv1pool_b5_wave,WAIVE_WAVESC,0,403,0,403,0,-1e-06,0,27.048152446746826,Two Conv2D layers back to back
0-1conv1pool_b5m3_wave,WAIVE_WAVESC,0,1045,0,1045,0,-1e-06,0,27.04803156852722,Two Conv2D layers back to back
0-1conv1pool_wave,PASS,0.00924390243902439,8338,0.00924390243902439,8338,902,0.873066,1033.1406789406528,36.062793254852295,Two Conv2D layers back to back
0-1conv_b1h1r1s1c2m2_tile_wave,PASS,5.7347670250896056e-05,16,5.7347670250896056e-05,16,279,0.053914,5174.908187112809,31.055063247680664,Two Conv2D layers back to back
0-1conv_h17c196r1_wave,PASS,0.007015091538842158,170130,0.007015091538842158,170130,24252,3.549927,6831.689778409528,35.067715644836426,Two Conv2D layers back to back
0-1conv_h4r1_b2_wave,PASS,0.00027123287671232876,99,0.00027123287671232876,99,365,0.081236,4493.081884878625,30.053666591644287,Two Conv2D layers back to back
0-1conv_h4r1_wave,PASS,0.0001619047619047619,51,0.0001619047619047619,51,315,0.100352,3138.950892857143,30.05383014678955,Two Conv2D layers back to back
0-1conv_h4r2s2_wave,PASS,0.00017880794701986754,54,0.00017880794701986754,54,302,0.104399,2892.748014827728,27.051202535629272,Two Conv2D layers back to back
0-1conv_h4r3s1_b2_wave,PASS,0.0005496323529411765,299,0.0011378676470588235,619,544,0.056392,9646.758405447581,27.051688194274902,Two Conv2D layers back to back
0-1conv_h4r3s1_wave,PASS,0.00037804878048780483,155,0.0007682926829268293,315,410,0.160163,2559.892109913026,28.054968118667603,Two Conv2D layers back to back
0-1conv_h6r2s3_wave,PASS,0.00023870967741935483,74,0.00023870967741935483,74,310,0.075082,4128.819157720892,25.053717851638794,Two Conv2D layers back to back
0-1conv_h6r3s2_b2_wave,PASS,0.0006858974358974359,321,0.0008696581196581197,407,468,0.25707100000000005,1820.5087310509543,28.056581497192383,Two Conv2D layers back to back
0-1conv_h6r3s2_wave,PASS,0.00044623655913978496,166,0.0005618279569892473,209,372,0.083325,4464.4464446444645,31.062929153442383,Two Conv2D layers back to back
