Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-10conv_relu_wave,PASS,0.0005779778960294719,1412,0.0011674171101105201,2852,2443,0.794891,3073.3773561406533,40.234869718551636,Resnet-like network with 10 Conv2D and Relu layer pairs
0-116conv_tanh_wave,WAIVE-ME_ACC,0,17842,0,36242,0,-1e-06,0,53.559680223464966,Resnet-like network with 116 Conv2D and Relu layer pairs
0-1ap0,PASS,0.0014411764705882354,49,0.0014411764705882354,49,34,0.045433,748.3547201373451,37.199970722198486,Single AvgPoll layer
0-1ap7x7,PASS,0.006444520547945205,9409,0.006444520547945205,9409,1460,0.7213959999999999,2023.8537502287234,38.20463490486145,Single AvgPoll layer
0-1conv0,PASS,4.1379310344827587e-05,6,4.1379310344827587e-05,6,145,0.06568399999999999,2207.5391267279706,41.41300058364868,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_b16_wave,PASS,4.541406945681211e-05,51,4.541406945681211e-05,51,1123,0.324122,3464.7447566039946,41.41312551498413,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h16_wave,PASS,0.0007851323828920569,771,0.0007851323828920569,771,982,0.231806,4236.301044839219,40.339213371276855,"Existance test for 1 conv2D layer with 1x1 filter, 16x16 image, 1 input channel"
0-1conv0_c1h2,PASS,9.80392156862745e-05,15,9.80392156862745e-05,15,153,0.021841,7005.173755780414,38.200881242752075,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h2_wave,PASS,5.3956834532374096e-05,15,5.3956834532374096e-05,15,278,0.09546299999999999,2912.1230214847637,42.46069669723511,"Existance test for 1 conv2D layer with 1x1 filter, 2x2 image, 1 input channel"
0-1conv0_h16r2s2_wave,PASS,0.0010794979079497909,774,0.0010794979079497909,774,717,0.516685,1387.6926947753468,41.4097318649292,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r3s2_wave,PASS,0.0012908726178535608,1287,0.001423269809428285,1419,997,0.219619,4539.680082324388,40.22514009475708,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h55c256m1_wave,PASS,0.007288982723841851,2323458,0.007288982723841851,2323458,318763,56.321982000000006,5659.65523017283,98.07336735725403,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_padvalid_wave,PASS,0.0020706955014450235,1281804,0.0020706955014450235,1281804,619021,97.316777,6360.8867770045445,160.57999420166016,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_qemu_wave,PASS,0,6,0,6,0,-1e-06,0,611.9585797786713,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_wave,PASS,2.214022140221402e-05,6,2.214022140221402e-05,6,271,0.053936,5024.473450014832,38.19359540939331,Existence test for wave scheduler
0-1conv0m4_wave,PASS,5.4545454545454546e-05,15,5.4545454545454546e-05,15,275,0.209556,1312.298383248392,39.20159912109375,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0m8_wave,PASS,9.473684210526316e-05,27,9.473684210526316e-05,27,285,0.069872,4078.887107854362,40.21884846687317,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv1avgpool_wave,PASS,0.0002561728395061729,83,0.0002561728395061729,83,324,0.097962,3307.404912108777,42.45160245895386,Two Conv2D layers back to back
0-1conv1ba1_fp32_wave,PASS,0.20007705825529645,226796349,0.20907041537830434,236990724,1133545,187.251775,6053.587476006569,275.36432909965515,Two Conv2D layers back to back
0-1conv1ba1_h1c64m64_fp32_wave,PASS,0.003354110693175712,12484,0.003354110693175712,12484,3722,1.000294,3720.9060536202355,44.49920034408569,Two Conv2D layers back to back
0-1conv1ba1_h1c64m64_wave,PASS,0.006066083576287657,12484,0.006066083576287657,12484,2058,0.447068,4603.326563296859,42.44885325431824,Two Conv2D layers back to back
0-1conv1ba1_h4c1m1,PASS,0.00032558139534883724,70,0.00032558139534883724,70,215,0.054636,3935.1343436561974,43.48197388648987,Two Conv2D layers back to back
0-1conv1ba1_h4c1m1_fp32,PASS,0.0003030303030303031,70,0.0003030303030303031,70,231,0.09511599999999999,2428.6134824845453,36.136391401290894,Two Conv2D layers back to back
0-1conv1ba1_h4c1m1_fp32_wave,PASS,0.00021671826625387,70,0.00021671826625387,70,323,0.087628,3686.036426712923,40.21191096305847,Two Conv2D layers back to back
0-1conv1ba1_h4c2m2_fp32_wave,PASS,0.0005738636363636364,202,0.0005738636363636364,202,352,0.077457,4544.4569244871345,40.210859060287476,Two Conv2D layers back to back
0-1conv1ba1_h4c2m2_wave,PASS,0.0006196319018404908,202,0.0006196319018404908,202,326,0.220229,1480.2773476699253,44.49249458312988,Two Conv2D layers back to back
0-1conv1ba1_h55c1m1_b2_wave,PASS,0.0029969047913829395,24206,0.0029969047913829395,24206,8077,3.5706539999999998,2262.0505935327255,47.50820446014404,Two Conv2D layers back to back
0-1conv1ba1_h55c1m1_fp32_wave,PASS,0.0010767588721871386,12106,0.0010767588721871386,12106,11243,4.701398999999999,2391.4158317556116,42.44193983078003,Two Conv2D layers back to back
0-1conv1ba1_h55c1m1_wave,PASS,0.0029965346534653464,12106,0.0029965346534653464,12106,4040,2.1555709999999997,1874.2133754814852,43.47416663169861,Two Conv2D layers back to back
0-1conv1ba1_wave,PASS,0.004906238040566398,12820,0.004906238040566398,12820,2613,1.373259,1902.7728928046347,41.386890172958374,Two Conv2D layers back to back
0-1conv1maxpool_k3d2_wave,WAIVE_WAVESC,0,91,0,603,0,-1e-06,0,32.11370873451233,Two Conv2D layers back to back
0-1conv1pool,PASS,0.0003990384615384616,83,0.0003990384615384616,83,208,0.032139,6471.887737639628,40.203683614730835,Two Conv2D layers back to back
0-1conv1pool_b5_wave,WAIVE_WAVESC,0,403,0,403,0,-1e-06,0,30.102190494537354,Two Conv2D layers back to back
0-1conv1pool_b5m3_wave,WAIVE_WAVESC,0,1045,0,1045,0,-1e-06,0,32.11069297790527,Two Conv2D layers back to back
0-1conv1pool_wave,PASS,0.0051090686274509805,8338,0.0051090686274509805,8338,1632,0.859059,1899.7531019406117,45.48951601982117,Two Conv2D layers back to back
0-1conv_h4r1_b2_wave,PASS,0.0002765363128491621,99,0.0002765363128491621,99,358,0.102836,3481.271150180871,39.1785523891449,Two Conv2D layers back to back
0-1conv_h4r1_wave,PASS,0.00016451612903225807,51,0.00016451612903225807,51,310,0.07156,4332.029066517608,41.379170417785645,Two Conv2D layers back to back
0-1conv_h4r2s2_wave,PASS,0.0001818181818181818,54,0.0001818181818181818,54,297,0.117098,2536.337085176519,40.30322527885437,Two Conv2D layers back to back
0-1conv_h4r3s1,PASS,0.00011627906976744185,155,0.0002363090772693173,315,1333,0.815479,1634.6221055355197,36.117929220199585,Two Conv2D layers back to back
0-1conv_h4r3s1_b2_wave,PASS,0.0005567970204841714,299,0.0011527001862197393,619,537,0.112551,4771.170402750753,45.48486351966858,Two Conv2D layers back to back
0-1conv_h4r3s1_wave,PASS,0.00038271604938271603,155,0.0007777777777777777,315,405,0.081177,4989.0978971876275,40.19349431991577,Two Conv2D layers back to back
0-1conv_h6r2s3_wave,PASS,0.00024262295081967214,74,0.00024262295081967214,74,305,0.088738,3437.084450855327,36.11540603637695,Two Conv2D layers back to back
0-1conv_h6r3s2_b2_wave,PASS,0.0006963123644251626,321,0.0008828633405639913,407,461,0.207565,2220.991014862814,41.37385106086731,Two Conv2D layers back to back
0-1conv_h6r3s2_wave,PASS,0.00045231607629427794,166,0.0005694822888283379,209,367,0.263807,1391.168543670183,43.4585816860199,Two Conv2D layers back to back
0-1conv_s2,PASS,0.00017088607594936708,27,0.00017088607594936708,27,158,0.054167,2916.9051267376817,40.3480908870697,Two Conv2D layers back to back
0-1conv_s8,PASS,0.0010511811023622046,267,0.0010511811023622046,267,254,0.068922,3685.3254403528626,39.16757893562317,Two Conv2D layers back to back
0-1conv_s8_32b_wave,PASS,0.0005550935550935551,267,0.0005550935550935551,267,481,0.184684,2604.448679907301,42.420467138290405,Two Conv2D layers back to back
0-1conv_s8_wave,PASS,0.0007082228116710875,267,0.0007082228116710875,267,377,0.135767,2776.8161629851143,39.16658616065979,Two Conv2D layers back to back
0-1conv_tile,PASS,0.0008892564787716842,20966,0.0009876574627815243,23286,23577,6.137183,3841.664815926134,48.48836970329285,Single Conv2D layer with a large image
0-1conv_tile_r1_e1,PASS,0.0007907976779187271,3678,0.0007907976779187271,3678,4651,2.1162039999999998,2197.803236360956,40.34344530105591,Single Conv2D layer with a large image
0-1conv_tile_r1_e1_wave,PASS,0.001141172820353708,3678,0.001141172820353708,3678,3223,1.282963,2512.1535071549215,43.45109963417053,Single Conv2D layer with a large image
0-1conv_tile_r1_wave,PASS,0.001141172820353708,3678,0.001141172820353708,3678,3223,0.719747,4477.962395119396,36.10547709465027,Single Conv2D layer with a large image
0-1conv_tile_r1h32,PASS,0.0009007029876977153,3075,0.0009007029876977153,3075,3414,0.428584,7965.766337520766,40.18051600456238,Single Conv2D layer with a large image
0-1conv_tile_r1h32_wave,PASS,0.0012985641891891894,3075,0.0012985641891891894,3075,2368,0.888612,2664.83009457446,41.3617467880249,Single Conv2D layer with a large image
0-1conv_tile_wave,PASS,0.001798884598884599,20966,0.001997940797940798,23286,11655,5.278834,2207.873935797186,42.41205310821533,Single Conv2D layer with a large image
0-1mp0,PASS,0.0014411764705882354,49,0.0014411764705882354,49,34,0.02689,1264.4105615470435,41.360467195510864,Single MaxPoll layer
0-1mp0c64,PASS,0.003138917262512768,3073,0.003138917262512768,3073,979,0.679141,1441.5268699725093,40.17636013031006,Single MaxPoll layer
0-1mp_r3s2,PASS,0.0018846153846153843,98,0.0018846153846153843,98,52,0.054499,954.1459476320666,36.09819722175598,Single MaxPoll layer
0-1mp_r3s2_112_55,PASS,0.002002421018023134,66995,0.002002421018023134,66995,33457,10.56145,3167.8415369101776,52.60999631881714,Single MaxPoll layer
0-1mp_r3s2_16_wave,PASS,0.0016341463414634146,1139,0.0016341463414634146,1139,697,0.276164,2523.862632348894,47.54292058944702,Single MaxPoll layer
0-2conv0,PASS,3.4843205574912885e-05,10,3.4843205574912885e-05,10,287,0.11375299999999999,2523.010382143768,48.59121656417847,A unit test
0-2conv3_32b,PASS,0.0001157580283793876,155,0.0002352501867064974,315,1339,0.169658,7892.348135661154,51.602805614471436,A unit test
