Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-116conv_tanh_sem_qemu_wave,PASS,0.00029542180644093056,17842,0.0006000827883102906,36242,60395,-1.000001,0,206.19330096244812,Resnet-like network with 116 Conv2D and Relu layer pairs
0-116conv_tanh_wave,PASS,0.00029512372634643374,17842,0.0005994773058091836,36242,60456,-1.000001,0,207.27430248260498,Resnet-like network with 116 Conv2D and Relu layer pairs
0-11conv_tanh_wave,PASS,0.0002526604321186714,1567,0.0005106417284746856,3167,6202,-1.000001,0,185.1719195842743,Two Conv2D layers back to back
0-1avgpool_h16c128m64k1d1_valid_wave,PASS,0.016213920501401947,98305,0.016213920501401947,98305,6063,-1.000001,0,179.13693165779114,A unit test
0-1avgpool_h16c128m64k3d1_valid_wave,PASS,0.053460596026490066,484353,0.053460596026490066,484353,9060,-1.000001,0,229.3185453414917,A unit test
0-1avgpool_wave_h149c1m1k1d2_valid,PASS,0.0021885508668629374,33452,0.0021885508668629374,33452,15285,-1.000001,0,236.33959698677063,A unit test
0-1avgpool_wave_h17c768m768k3d1_same,PASS,0.05482439970506204,3420275,0.06759672041804252,4217089,62386,-1.000001,0,254.2166657447815,A unit test
0-1avgpool_wave_h1c192m192k1d1_valid,PASS,0.00031668496158068055,577,0.00031668496158068055,577,1822,-1.000001,0,270.2198281288147,A unit test
0-1avgpool_wave_h35c192m192k3d1_same,PASS,0.06117413449696675,4023484,0.06794485411503551,4468801,65771,-1.000001,0,302.30484318733215,A unit test
0-1avgpool_wave_h35c256m256k3d1_same,PASS,0.061765528754821254,5364645,0.06860170398940764,5958401,86855,-1.000001,0,311.34809494018555,A unit test
0-1avgpool_wave_h35c288m288k3d1_same,PASS,0.05828770933534218,6035226,0.0647389561723745,6703201,103542,-1.000001,0,329.4123783111572,A unit test
0-1avgpool_wave_h71c1m1k3d1_valid,PASS,0.0019446647092861277,90740,0.0019446647092861277,90740,46661,-1.000001,0,326.4018168449402,A unit test
0-1avgpool_wave_h8c1280m1280k3d1_same,PASS,0.0354745088544549,1025639,0.053835120365246264,1556481,28912,-1.000001,0,333.38670110702515,A unit test
0-1avgpool_wave_h8c2048m2048k3d1_same,PASS,0.035809064525279856,1641022,0.05434283282780894,2490369,45827,-1.000001,0,274.1345908641815,A unit test
0-1avgpool_wave_h8c2048m2048k3d1_same_qemu_sem,PASS,0.03584113047656489,1641022,0.05439149521687853,2490369,45786,-1.000001,0,332.42313504219055,A unit test
0-1clipbyvalue_wave,PASS,4.272863568215892e-05,57,4.272863568215892e-05,57,1334,-1.000001,0,290.22190594673157,A unit test
0-1concat_h16c63m127ni5,PASS,0.2581598521886256,24870862,0.2581598521886256,24870862,96339,-1.000001,0,345.52942514419556,A unit test
0-1concat_h16c63m127ni5_sem_qemu,PASS,0.2029107237915343,23633012,0.2029107237915343,23633012,116470,-1.000001,0,351.58407831192017,A unit test
0-1concat_h17c1m1ni2,PASS,0.00029413555194805194,2899,0.00029413555194805194,2899,9856,-1.000001,0,315.4258270263672,A unit test
0-1concat_h1c1m10ni5,PASS,1.5892223297838014e-05,394,1.5892223297838014e-05,394,24792,-1.000001,0,309.4209523200989,A unit test
