Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-116conv_tanh_wave,PASS,0.0002880994671403197,17842,0.000585209107056354,36242,61930,-1.000001,0,169.9517641067505,Resnet-like network with 116 Conv2D and Relu layer pairs
0-11conv_tanh_wave,PASS,0.00024677165354330705,1567,0.0004987401574803149,3167,6350,-1.000001,0,415.2209270000458,Two Conv2D layers back to back
0-1avgpool_h16c128m64k1d1_valid_wave,PASS,0.01838507574340752,98305,0.01838507574340752,98305,5347,-1.000001,0,184.00894331932068,A unit test
0-1avgpool_h16c128m64k3d1_valid_wave,PASS,0.05788849049838652,484353,0.05788849049838652,484353,8367,-1.000001,0,198.10691595077515,A unit test
0-1avgpool_wave_h149c1m1k1d2_valid,PASS,0.002293746571585299,33452,0.002293746571585299,33452,14584,-1.000001,0,207.13221979141235,A unit test
0-1avgpool_wave_h17c768m768k3d1_same,PASS,0.0554222773159626,3420275,0.06833388427073711,4217089,61713,-1.000001,0,188.0251522064209,A unit test
0-1avgpool_wave_h1c192m192k1d1_valid,PASS,0.0004653225806451613,577,0.0004653225806451613,577,1240,-1.000001,0,197.06175637245178,A unit test
0-1avgpool_wave_h35c192m192k3d1_same,PASS,0.06198748998582609,4023484,0.0688482313428237,4468801,64908,-1.000001,0,175.9563057422638,A unit test
0-1avgpool_wave_h35c256m256k3d1_same,PASS,0.06241588132635254,5364645,0.06932403723094821,5958401,85950,-1.000001,0,229.248028755188,A unit test
0-1avgpool_wave_h35c288m288k3d1_same,PASS,0.05875757929785619,6035226,0.06526083104542711,6703201,102714,-1.000001,0,203.10714316368103,A unit test
0-1avgpool_wave_h71c1m1k3d1_valid,PASS,0.001973509645707823,90740,0.001973509645707823,90740,45979,-1.000001,0,389.9075605869293,A unit test
0-1avgpool_wave_h8c1280m1280k3d1_same,PASS,0.03795570276071349,1025639,0.05760051069498927,1556481,27022,-1.000001,0,217.15037846565247,A unit test
0-1avgpool_wave_h8c2048m2048k3d1_same,PASS,0.03888493436330032,1641022,0.059010686697312915,2490369,42202,-1.000001,0,227.17766165733337,A unit test
0-1clipbyvalue_wave,PASS,9.208400646203555e-05,57,9.208400646203555e-05,57,619,-1.000001,0,163.8496334552765,A unit test
0-1conv-h8r3c4m4-relu_wave,PASS,0.006915602443087174,12455,0.010600222098833982,19091,1801,-1.000001,0,190.98497033119202,Two Conv2D layers back to back
0-1conv0_b16_wave,PASS,8.611955420466059e-06,51,8.611955420466059e-06,51,5922,-1.000001,0,194.9998128414154,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h16_wave,PASS,0.00020670241286863272,771,0.00020670241286863272,771,3730,-1.000001,0,208.01587843894958,"Existance test for 1 conv2D layer with 1x1 filter, 16x16 image, 1 input channel"
0-1conv0_c1h2_wave,PASS,4.026845637583893e-06,15,4.026845637583893e-06,15,3725,-1.000001,0,183.86211609840393,"Existance test for 1 conv2D layer with 1x1 filter, 2x2 image, 1 input channel"
0-1conv0_ckpt_wave,PASS,8.391608391608391e-06,6,8.391608391608391e-06,6,715,-1.000001,0,424.93974328041077,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r2s2_wave,PASS,0.0006831421006178287,774,0.0006831421006178287,774,1133,-1.000001,0,205.92224073410034,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r3s2_wave,PASS,0.0008303225806451613,1287,0.000915483870967742,1419,1550,-1.000001,0,190.850417137146,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h55c256m1_wave,PASS,0.02005972700665648,2323458,0.02005972700665648,2323458,115827,-1.000001,0,224.0316526889801,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_padvalid_wave,PASS,0.001979390804153959,1281804,0.001979390804153959,1281804,647575,-1.000001,0,346.6545293331146,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_qemu_wave,PASS,8.344923504867873e-06,6,8.344923504867873e-06,6,719,-1.000001,0,232.0554633140564,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
