TestName,TotInstrCount,PeInstrCount,ActInstrCount,PoolInstrCount,ActiveRows,ActiveCols,ActiveChannels,TotUniqWaitEventCount,TotWaitEventCount,TotUniqSetEventCount,TotSetEventCount,PeInstructions,ActInstructions,PoolInstructions
3-rn50-08_wave,758,726,3,29,128,64,64,10,10,6,6,LDWEIGHTS 288  MATMUL 288  NOP 73  WRITE 77  ,NOP 1  WRITE 2  ,NOP 11  POOL 8  WRITE 10  
4-rn50_matmul_nosm_wave,792,663,33,96,128,64,64,26,26,19,19,LDWEIGHTS 256  MATMUL 256  NOP 74  WRITE 77  ,ACTIVATION 16  NOP 15  WRITE 2  ,NOP 36  POOL 32  WRITE 28  
3-rn50-16_b2_wave_repl,933,682,7,244,84,64,64,123,171,65,111,LDWEIGHTS 224  MATMUL 224  NOP 116  WRITE 118  ,NOP 5  WRITE 2  ,NOP 92  POOL 112  WRITE 40  
0-1conv1maxpool_c128m64h128_val_wave,1282,1171,3,108,128,64,64,68,68,61,61,LDWEIGHTS 567  MATMUL 571  NOP 15  WRITE 18  ,NOP 1  WRITE 2  ,NOP 14  POOL 79  WRITE 15  
0-1conv_c128m64h128_waveg,1314,1191,3,120,128,64,64,66,66,62,62,LDWEIGHTS 576  MATMUL 586  NOP 11  WRITE 18  ,NOP 1  WRITE 2  ,NOP 27  POOL 64  WRITE 29  
5-rn50_nne_to_act4_wave-repl,1316,778,343,195,84,64,64,126,138,88,93,LDWEIGHTS 247  MATMUL 364  NOP 94  WRITE 73  ,ACTIVATION 196  NOP 135  WRITE 12  ,NOP 106  POOL 14  TENSOR_TENSOR_OP 56  WRITE 19  
2-padasym_strd_h112r7s2_wave,1477,1428,3,46,1,4,1,16,16,12,12,LDWEIGHTS 686  MATMUL 720  NOP 7  WRITE 15  ,NOP 1  WRITE 2  ,NOP 16  POOL 14  WRITE 16  
3-1conv1maxpool_k3d2_wave,1513,1397,3,113,128,64,64,74,74,69,69,LDWEIGHTS 630  MATMUL 642  NOP 62  WRITE 63  ,NOP 1  WRITE 2  ,NOP 14  POOL 84  WRITE 15  
0-116conv_tanh_wave,2681,2428,241,12,1,4,1,4,4,3,3,LDWEIGHTS 1035  MATMUL 1035  NOP 230  WRITE 128  ,ACTIVATION 115  NOP 117  WRITE 9  ,NOP 8  WRITE 4  
3-1conv0_h298_wave,3113,2886,7,220,1,4,1,114,152,112,148,LDWEIGHTS 1338  MATMUL 1338  NOP 99  WRITE 111  ,NOP 5  WRITE 2  ,NOP 34  POOL 149  WRITE 37  
5-rn50_nne_to_act13_wave-repl,3401,2051,874,476,128,64,64,199,411,155,246,LDWEIGHTS 723  MATMUL 968  NOP 248  WRITE 112  ,ACTIVATION 444  NOP 401  WRITE 29  ,NOP 239  POOL 14  TENSOR_TENSOR_OP 200  WRITE 23  
6-rn50_nne_to_act22_wave-repl,4770,2919,1179,672,128,64,64,227,593,205,352,LDWEIGHTS 1059  MATMUL 1376  NOP 327  WRITE 157  ,ACTIVATION 588  NOP 553  WRITE 38  ,NOP 333  POOL 14  TENSOR_TENSOR_OP 296  WRITE 29  
