TestName,TotInstrCount,PeInstrCount,ActInstrCount,PoolInstrCount,ActiveRows,ActiveCols,ActiveChannels,TotUniqWaitEventCount,TotWaitEventCount,TotUniqSetEventCount,TotSetEventCount,PeInstructions,ActInstructions,PoolInstructions
0-rtl-resadd_h16c128_wave,23,6,6,11,0,0,64,4,4,3,3,NOP 2  WRITE 4  ,ACTIVATION 2  NOP 2  WRITE 2  ,NOP 5  TENSOR_TENSOR_OP 2  WRITE 4  
1-1conv0_m128_wave,24,10,3,11,1,64,64,4,4,2,2,LDWEIGHTS 2  MATMUL 2  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-1conv1avgpool_wave,25,11,3,11,1,4,1,4,4,2,2,LDWEIGHTS 1  MATMUL 1  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-1conv1ba1_h1c1m1_wave,25,10,5,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-1conv1ba1_h1c64m64_wave,25,10,5,10,64,64,64,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-1conv1ba1_h4c2m2_wave,25,10,5,10,2,4,2,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-1conv1maxpool_wave_k3d1,25,11,3,11,1,4,1,4,4,2,2,LDWEIGHTS 1  MATMUL 1  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-1conv_h4_sigmoid_wave,25,10,5,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-rtl-1conv1avgpool_h16c128m64_same_wave,25,11,3,11,128,64,64,4,4,2,2,LDWEIGHTS 1  MATMUL 1  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-rtl-1conv1avgpool_h4c1m1_same_wave,25,11,3,11,1,4,1,4,4,2,2,LDWEIGHTS 1  MATMUL 1  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-rtl-1conv1maxpool_h16c128m64_wave,25,11,3,11,128,64,64,4,4,2,2,LDWEIGHTS 1  MATMUL 1  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-rtl-1conv1maxpool_h1c1m1_wave,25,11,3,11,1,4,1,4,4,2,2,LDWEIGHTS 1  MATMUL 1  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-rtl-2conv3_relu_h1c1m1r3_wave,25,10,5,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-rtl-rn50_ba_relu_h16c128m64_fp16_wave,25,10,5,10,128,64,64,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-rtl-rn50_ba_relu_h1c1m1_fp16_wave,25,10,5,10,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-1conv0_h16r2s2_wave,27,14,3,10,1,4,1,3,3,2,2,LDWEIGHTS 4  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv_h4r1_b2_wave,27,9,3,15,1,4,1,3,3,2,2,LDWEIGHTS 1  MATMUL 1  NOP 3  WRITE 4  ,NOP 1  WRITE 2  ,NOP 7  POOL 2  WRITE 6  
0-1conv_h4r2s2_wave,27,14,3,10,1,4,1,3,3,2,2,LDWEIGHTS 4  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv_h6r2s3_wave,27,14,3,10,1,4,1,3,3,2,2,LDWEIGHTS 4  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv_tile_r1h32_wave,27,11,3,13,1,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
0-rtl-1conv_h4r2c8m4_wave,27,14,3,10,8,4,4,3,3,2,2,LDWEIGHTS 4  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
1-1conv0_c256_wave,27,12,3,12,128,4,1,3,3,2,2,LDWEIGHTS 2  MATMUL 2  NOP 3  WRITE 5  ,NOP 1  WRITE 2  ,NOP 6  POOL 1  WRITE 5  
1-1conv0_h16c256_wave,27,12,3,12,128,4,1,3,3,2,2,LDWEIGHTS 2  MATMUL 2  NOP 3  WRITE 5  ,NOP 1  WRITE 2  ,NOP 6  POOL 1  WRITE 5  
1-1conv0_h28c1m1_wave,27,11,3,13,1,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c128m1_wave,27,11,3,13,128,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c1m1_wave,27,11,3,13,1,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c1m2_wave,27,11,3,13,1,4,2,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c2m1_wave,27,11,3,13,2,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c4m1_wave,27,11,3,13,4,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c64m1_wave,27,11,3,13,64,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv0_h32c8m1_wave,27,11,3,13,8,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
1-1conv_transpose_h8s4_wave,27,11,3,13,1,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
3-rn50_pool2_wave,27,12,3,12,128,64,64,5,5,2,2,LDWEIGHTS 1  MATMUL 1  NOP 6  WRITE 4  ,NOP 1  WRITE 2  ,NOP 6  POOL 2  WRITE 4  
0-1conv1pool_wave,29,13,3,13,1,64,64,5,5,2,2,LDWEIGHTS 2  MATMUL 2  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 4  WRITE 4  
0-3conv_relu_wave,30,14,6,10,1,4,1,3,3,2,2,LDWEIGHTS 2  MATMUL 2  NOP 4  WRITE 6  ,ACTIVATION 2  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-1conv_h17c196r1_wave,32,16,3,13,128,4,1,4,4,2,2,LDWEIGHTS 4  MATMUL 4  NOP 3  WRITE 5  ,NOP 1  WRITE 2  ,NOP 6  POOL 2  WRITE 5  
1-1conv0_h16c256m128_wave,32,16,3,13,128,64,64,4,4,2,2,LDWEIGHTS 4  MATMUL 4  NOP 3  WRITE 5  ,NOP 1  WRITE 2  ,NOP 6  POOL 2  WRITE 5  
0-1maxpool_wave_h71c1m1k3d2_valid,33,3,3,27,0,0,1,8,8,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 12  POOL 5  WRITE 10  
0-3conv_ba_resadd_h1_fp16_wave,33,16,7,10,1,4,1,3,3,2,2,LDWEIGHTS 2  MATMUL 2  NOP 5  WRITE 7  ,ACTIVATION 2  NOP 3  WRITE 2  ,NOP 5  TENSOR_TENSOR_OP 1  WRITE 4  
0-1conv_tile_r1_e1_wave,34,13,3,18,1,4,1,7,7,3,3,LDWEIGHTS 1  MATMUL 5  NOP 3  WRITE 4  ,NOP 1  WRITE 2  ,NOP 7  POOL 5  WRITE 6  
0-1conv_tile_r1_wave,34,13,3,18,1,4,1,7,7,3,3,LDWEIGHTS 1  MATMUL 5  NOP 3  WRITE 4  ,NOP 1  WRITE 2  ,NOP 7  POOL 5  WRITE 6  
0-1conv0_h16r3s2_wave,37,24,3,10,1,4,1,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv_h4r3s1_wave,37,24,3,10,1,4,1,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv_h6r3s2_wave,37,24,3,10,1,4,1,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-rtl-1conv_h4r3c4m2_wave,37,24,3,10,4,4,2,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
1-1conv0_r3h16c128_wave,37,24,3,10,128,4,1,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
2-1conv3_64s8_wave,37,24,3,10,64,64,64,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1conv1ba1_h4c1m256_wave,40,18,9,13,1,64,64,4,4,2,2,LDWEIGHTS 4  MATMUL 4  NOP 4  WRITE 6  ,ACTIVATION 4  NOP 3  WRITE 2  ,NOP 8  WRITE 5  
0-1conv1ba1_wave,40,18,9,13,1,64,64,4,4,2,2,LDWEIGHTS 4  MATMUL 4  NOP 4  WRITE 6  ,ACTIVATION 4  NOP 3  WRITE 2  ,NOP 8  WRITE 5  
1-1conv0_h40c1m1_wave,40,16,3,21,1,4,1,10,10,6,6,LDWEIGHTS 1  MATMUL 8  NOP 3  WRITE 4  ,NOP 1  WRITE 2  ,NOP 7  POOL 8  WRITE 6  
0-1conv-h8r3c4m4-relu_wave,41,26,5,10,4,4,4,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-1conv1maxpool_c128m64h16_val_wave,41,27,3,11,128,64,64,4,4,2,2,LDWEIGHTS 9  MATMUL 9  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-2conv3_relu_wave,41,26,5,10,1,4,1,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-2conv_tanh_wave,41,26,5,10,1,4,1,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-rtl-1conv1maxpool_h8r3c5m4_val_wave,41,27,3,11,5,4,4,4,4,2,2,LDWEIGHTS 9  MATMUL 9  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 2  WRITE 4  
0-rtl-1conv3_h4r3_relu_wave,41,26,5,10,1,4,1,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-rtl-1conv_relu_wave,41,26,5,10,1,4,1,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-rtl-2conv3_relu_h16c64m64r3_wave,41,26,5,10,64,64,64,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 3  WRITE 5  ,ACTIVATION 1  NOP 2  WRITE 2  ,NOP 6  WRITE 4  
0-1conv_h4r3s1_b2_wave,43,25,3,15,1,4,1,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 3  WRITE 4  ,NOP 1  WRITE 2  ,NOP 7  POOL 2  WRITE 6  
0-1conv_h6r3s2_b2_wave,43,25,3,15,1,4,1,3,3,2,2,LDWEIGHTS 9  MATMUL 9  NOP 3  WRITE 4  ,NOP 1  WRITE 2  ,NOP 7  POOL 2  WRITE 6  
0-rtl-1conv_h8r4c64m16_wave,51,38,3,10,64,16,16,3,3,2,2,LDWEIGHTS 16  MATMUL 16  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
0-1avgpool_wave_h71c1m1k3d1_valid,59,3,3,53,0,0,1,8,8,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 15  POOL 23  WRITE 15  
0-1maxpool_wave_h71c1m1k3d1_valid,59,3,3,53,0,0,1,8,8,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 15  POOL 23  WRITE 15  
0-1maxpool_wave_h71c192m192k3d2_valid,61,3,3,55,0,0,64,14,14,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 21  POOL 15  WRITE 19  
1-1conv0_h55m64_wave,63,24,3,36,1,64,64,16,16,12,12,LDWEIGHTS 1  MATMUL 14  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 11  POOL 14  WRITE 11  
1-1conv0_h56c1m1_wave,63,24,3,36,1,4,1,16,16,12,12,LDWEIGHTS 1  MATMUL 14  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 11  POOL 14  WRITE 11  
3-rn50-13_wave,63,24,3,36,64,64,64,16,16,12,12,LDWEIGHTS 1  MATMUL 14  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 11  POOL 14  WRITE 11  
0-rtl-1conv1avgpool_h32c256m128_same_wave,67,43,3,21,128,64,64,11,11,6,6,LDWEIGHTS 16  MATMUL 16  NOP 6  WRITE 5  ,NOP 1  WRITE 2  ,NOP 6  POOL 10  WRITE 5  
0-rtl-1conv1maxpool_h32c256m128_wave,67,43,3,21,128,64,64,11,11,6,6,LDWEIGHTS 16  MATMUL 16  NOP 6  WRITE 5  ,NOP 1  WRITE 2  ,NOP 6  POOL 10  WRITE 5  
1-1conv0_h64c2m1_wave,67,26,3,38,2,4,1,18,18,14,14,LDWEIGHTS 1  MATMUL 16  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 11  POOL 16  WRITE 11  
3-rn50-14_wave,68,44,3,21,128,64,64,6,6,2,2,LDWEIGHTS 16  MATMUL 16  NOP 5  WRITE 7  ,NOP 1  WRITE 2  ,NOP 9  POOL 4  WRITE 8  
0-rtl-rn50_ba_relu_h32c256m128_fp16_wave,69,42,12,15,128,64,64,6,6,2,2,LDWEIGHTS 16  MATMUL 16  NOP 4  WRITE 6  ,ACTIVATION 8  NOP 2  WRITE 2  ,NOP 10  WRITE 5  
0-1conv0_wave_h35c288m64,70,41,3,26,128,64,64,7,7,3,3,LDWEIGHTS 15  MATMUL 15  NOP 5  WRITE 6  ,NOP 1  WRITE 2  ,NOP 11  POOL 5  WRITE 10  
3-rn50-18_wave,73,51,3,19,128,64,64,10,10,6,6,LDWEIGHTS 16  MATMUL 16  NOP 8  WRITE 11  ,NOP 1  WRITE 2  ,NOP 6  POOL 8  WRITE 5  
8-rn50_nne_conv_wave,77,26,3,48,64,64,64,16,16,12,12,LDWEIGHTS 1  MATMUL 14  NOP 7  WRITE 4  ,NOP 1  WRITE 2  ,NOP 17  POOL 14  WRITE 17  
0-rtl-resadd_h32c256_wave,82,8,33,41,0,0,64,18,18,28,28,NOP 3  WRITE 5  ,ACTIVATION 16  NOP 15  WRITE 2  ,NOP 18  TENSOR_TENSOR_OP 16  WRITE 7  
0-4conv_multiout_wave,89,66,7,16,1,4,1,5,5,2,2,LDWEIGHTS 27  MATMUL 27  NOP 5  WRITE 7  ,ACTIVATION 3  NOP 2  WRITE 2  ,NOP 10  WRITE 6  
0-1conv1ba1_h55c1m1_wave,90,26,28,36,1,4,1,16,16,2,2,LDWEIGHTS 1  MATMUL 14  NOP 6  WRITE 5  ,ACTIVATION 14  NOP 12  WRITE 2  ,NOP 25  WRITE 11  
0-1avgpool_wave_h35c192m192k3d1_same,92,3,3,86,0,0,64,6,6,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 11  POOL 63  WRITE 12  
3-rn50-06_wave,97,46,3,48,128,64,64,34,34,30,30,LDWEIGHTS 8  MATMUL 32  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 8  POOL 32  WRITE 8  
3-rn50-10_wave,102,76,3,23,128,64,64,10,10,6,6,LDWEIGHTS 32  MATMUL 32  NOP 5  WRITE 7  ,NOP 1  WRITE 2  ,NOP 8  POOL 8  WRITE 7  
0-1conv0_b16_wave,113,23,3,87,1,4,1,6,6,2,2,LDWEIGHTS 1  MATMUL 4  NOP 14  WRITE 4  ,NOP 1  WRITE 2  ,NOP 35  POOL 16  WRITE 36  
0-1avgpool_wave_h35c256m256k3d1_same,114,3,3,108,0,0,64,6,6,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 11  POOL 84  WRITE 13  
0-1conv0_h55c256m1_wave,114,67,3,44,128,4,1,16,16,12,12,LDWEIGHTS 28  MATMUL 28  NOP 6  WRITE 5  ,NOP 1  WRITE 2  ,NOP 15  POOL 14  WRITE 15  
1-1conv0_h55c256_wave,114,67,3,44,128,4,1,16,16,12,12,LDWEIGHTS 28  MATMUL 28  NOP 6  WRITE 5  ,NOP 1  WRITE 2  ,NOP 15  POOL 14  WRITE 15  
3-rn50-11_wave,114,67,3,44,128,64,64,16,16,12,12,LDWEIGHTS 28  MATMUL 28  NOP 6  WRITE 5  ,NOP 1  WRITE 2  ,NOP 15  POOL 14  WRITE 15  
0-1avgpool_wave_h71c1m1k3d1_same,116,3,3,110,0,0,1,8,8,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 15  POOL 78  WRITE 17  
0-1conv_tile_wave,116,97,3,16,1,4,1,7,7,3,3,LDWEIGHTS 45  MATMUL 45  NOP 2  WRITE 5  ,NOP 1  WRITE 2  ,NOP 6  POOL 5  WRITE 5  
0-1maxpool_wave_h71c1m1k3d1_same,116,3,3,110,0,0,1,8,8,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 15  POOL 78  WRITE 17  
3-rn50-03_wave,116,84,3,29,128,64,64,6,6,2,2,LDWEIGHTS 32  MATMUL 32  NOP 9  WRITE 11  ,NOP 1  WRITE 2  ,NOP 13  POOL 4  WRITE 12  
0-1conv_exp_pad_wave,117,104,3,10,1,4,1,3,3,2,2,LDWEIGHTS 49  MATMUL 49  NOP 2  WRITE 4  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
1-1conv7_64_wave,123,110,3,10,64,64,64,3,3,2,2,LDWEIGHTS 49  MATMUL 49  NOP 5  WRITE 7  ,NOP 1  WRITE 2  ,NOP 5  POOL 1  WRITE 4  
3-rn50-02_wave,129,84,3,42,128,64,64,18,18,14,14,LDWEIGHTS 32  MATMUL 32  NOP 9  WRITE 11  ,NOP 1  WRITE 2  ,NOP 13  POOL 16  WRITE 13  
0-1maxpool_wave_h71c192m192k3d1_valid,131,3,3,125,0,0,64,14,14,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 27  POOL 69  WRITE 29  
0-1avgpool_wave_h35c288m288k3d1_same,144,3,3,138,0,0,64,8,8,2,2,NOP 1  WRITE 2  ,NOP 1  WRITE 2  ,NOP 15  POOL 105  WRITE 18  
3-rn50-04_wave,159,69,3,87,64,64,64,58,58,54,54,LDWEIGHTS 4  MATMUL 56  NOP 5  WRITE 4  ,NOP 1  WRITE 2  ,NOP 15  POOL 56  WRITE 16  
