Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-116conv_tanh_wave,PASS,0.0005422770652239986,17842,0.0011015135858002555,36242,32902,3.9239599999999997,8384.896889876554,23.09253454208374,Resnet-like network with 116 Conv2D and Relu layer pairs
0-11conv_tanh_wave,PASS,0.0005142763373810305,1567,0.0010393829996718084,3167,3047,0.37339700000000003,8160.215534672211,14.039450407028198,Two Conv2D layers back to back
0-1avgpool_wave_h17c768m768k3d1_same,PASS,0.019030390536758528,3420275,0.02346385907515287,4217089,179727,0.215169,835282.9636239421,22.06996750831604,A unit test
0-1avgpool_wave_h1c192m192k1d1_same,PASS,0.0007435567010309279,577,0.0007435567010309279,577,776,0.016031999999999998,48403.193612774456,14.039119005203247,A unit test
0-1avgpool_wave_h1c192m192k1d1_valid,PASS,0.0007435567010309279,577,0.0007435567010309279,577,776,0.041365,18759.821104798742,14.038445234298706,A unit test
0-1avgpool_wave_h35c192m192k3d1_same,PASS,0.019918533443565995,4023484,0.02212310578869983,4468801,201997,0.26624800000000004,758679.8774075297,23.08907175064087,A unit test
0-1avgpool_wave_h35c256m256k3d1_same,PASS,0.02024600619685779,5364645,0.02248682318575855,5958401,264973,0.30430700000000005,870742.3752986292,25.097157955169678,A unit test
0-1avgpool_wave_h35c288m288k3d1_same,PASS,0.019769477201257858,6035226,0.02195755044549266,6703201,305280,0.34376500000000004,888048.5215190608,27.116981506347656,A unit test
0-1avgpool_wave_h71c192m192k3d1,PASS,0.01978636480646299,17448032,0.02085408376529931,18389569,881821,1.125505,783489.1892972488,61.19329476356506,A unit test
0-1avgpool_wave_h71c1m1k3d1_same,PASS,0.001904438576637747,90876,0.0020072090196571525,95780,47718,0.224747,212318.740628351,14.034036636352539,A unit test
0-1avgpool_wave_h71c1m1k3d1_valid,PASS,0.001975830157866086,90740,0.001975830157866086,90740,45925,0.139089,330184.2705030592,14.033695697784424,A unit test
0-1avgpool_wave_h8c1280m1280k3d1_same,PASS,0.014837883193727124,1025639,0.022517555661646628,1556481,69123,0.068065,1015543.9653272607,19.045623064041138,A unit test
