Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-10conv_relu_wave,PASS,0.0005688960515713136,1412,0.0011490733279613215,2852,2482,0.911526,2722.9064228557386,36.31426692008972,Resnet-like network with 10 Conv2D and Relu layer pairs
0-116conv_tanh_wave,PASS,0.0005971817786256987,17842,0.0012130401312046056,36242,29877,9.771723000000001,3057.4955921284295,64.37401366233826,Resnet-like network with 116 Conv2D and Relu layer pairs
0-1conv0_b16_wave,PASS,4.377682403433476e-05,51,4.377682403433476e-05,51,1165,0.216316,5385.639527358124,29.090376138687134,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h16_wave,PASS,0.0007811550151975684,771,0.0007811550151975684,771,987,0.207223,4762.984803810388,30.094944715499878,"Existance test for 1 conv2D layer with 1x1 filter, 16x16 image, 1 input channel"
0-1conv0_c1h2_wave,PASS,5.319148936170213e-05,15,5.319148936170213e-05,15,282,0.121848,2314.358873350404,27.077889442443848,"Existance test for 1 conv2D layer with 1x1 filter, 2x2 image, 1 input channel"
0-1conv0_ckpt_wave,PASS,2.1818181818181818e-05,6,2.1818181818181818e-05,6,275,0.068482,4015.6537484302444,15.05676794052124,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r2s2_wave,PASS,0.00107202216066482,774,0.00107202216066482,774,722,0.199815,3613.342341666041,32.11990427970886,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r3s2_wave,PASS,0.0012844311377245509,1287,0.0014161676646706586,1419,1002,0.282289,3549.553826043523,32.11959648132324,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h55c256m1_wave,PASS,0.007259445104042992,2323458,0.007259445104042992,2323458,320060,65.829869,4861.926734200246,95.2568895816803,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_padvalid_wave,PASS,0.0019555345360234943,1281804,0.0019555345360234943,1281804,655475,83.022997,7895.101642741227,158.5494840145111,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_qemu_wave,FAIL,0,6,0,6,0,-1e-06,0,80.55736756324768,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_wave,PASS,2.1818181818181818e-05,6,2.1818181818181818e-05,6,275,0.18029799999999999,1525.2526373004694,30.084136486053467,Existence test for wave scheduler
0-1conv0m16_wave,PASS,0.00015789473684210527,51,0.00015789473684210527,51,323,0.119475,2703.494454906884,31.09017825126648,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0m4_wave,PASS,5.319148936170213e-05,15,5.319148936170213e-05,15,282,0.068153,4137.748888530218,33.11904191970825,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
