Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-10conv_relu_wave,PASS,0.0005779778960294719,1412,0.0011674171101105201,2852,2443,0.89333,2734.7116966854355,42.41576051712036,Resnet-like network with 10 Conv2D and Relu layer pairs
0-116conv_tanh_wave,WAIVE-ME_ACC,0,17842,0,36242,0,-1e-06,0,57.472028970718384,Resnet-like network with 116 Conv2D and Relu layer pairs
0-1ap0,PASS,0.0014411764705882354,49,0.0014411764705882354,49,34,0.073531,462.3900123757327,37.224042654037476,Single AvgPoll layer
0-1ap7x7,PASS,0.006444520547945205,9409,0.006444520547945205,9409,1460,0.620566,2352.690930537606,41.39304327964783,Single AvgPoll layer
0-1conv0,PASS,4.1379310344827587e-05,6,4.1379310344827587e-05,6,145,0.143,1013.9860139860141,37.22268104553223,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_b16_wave,PASS,4.541406945681211e-05,51,4.541406945681211e-05,51,1123,0.37479900000000005,2996.2726688171524,35.149160385131836,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h16_wave,PASS,0.0007851323828920569,771,0.0007851323828920569,771,982,0.197925,4961.475306302893,39.336735010147095,"Existance test for 1 conv2D layer with 1x1 filter, 16x16 image, 1 input channel"
0-1conv0_c1h2,PASS,9.80392156862745e-05,15,9.80392156862745e-05,15,153,0.106929,1430.8559885531522,37.22123908996582,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h2_wave,PASS,5.3956834532374096e-05,15,5.3956834532374096e-05,15,278,0.160831,1728.5224863365893,34.13852787017822,"Existance test for 1 conv2D layer with 1x1 filter, 2x2 image, 1 input channel"
0-1conv0_h16r2s2_wave,PASS,0.0010794979079497909,774,0.0010794979079497909,774,717,0.26464400000000005,2709.30004080954,37.22816705703735,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r3s2_wave,PASS,0.0012908726178535608,1287,0.001423269809428285,1419,997,0.630146,1582.173020220711,40.36100888252258,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h55c256m1_wave,PASS,0.007288982723841851,2323458,0.007288982723841851,2323458,318763,61.331786,5197.3539462881445,98.9676673412323,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_padvalid_wave,PASS,0.0020706955014450235,1281804,0.0020706955014450235,1281804,619021,99.265133,6236.036574896847,158.300133228302,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_qemu_wave,PASS,0,6,0,6,0,-1e-06,0,318.941339969635,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_wave,PASS,2.214022140221402e-05,6,2.214022140221402e-05,6,271,0.161126,1681.913533507938,37.224440574645996,Existence test for wave scheduler
0-1conv0m4_wave,PASS,5.4545454545454546e-05,15,5.4545454545454546e-05,15,275,0.079178,3473.1869963878858,43.411925315856934,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0m8_wave,PASS,9.473684210526316e-05,27,9.473684210526316e-05,27,285,0.104609,2724.43097630223,40.35570478439331,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv1avgpool_wave,PASS,0.0002561728395061729,83,0.0002561728395061729,83,324,0.172261,1880.8668241795879,37.22218942642212,Two Conv2D layers back to back
0-1conv1ba1_fp32_wave,PASS,0.20007705825529645,226796349,0.20907041537830434,236990724,1133545,195.665085,5793.292145095789,280.7778923511505,Two Conv2D layers back to back
0-1conv1ba1_h1c64m64_fp32_wave,PASS,0.003354110693175712,12484,0.003354110693175712,12484,3722,1.968483,1890.7961105074314,44.412818908691406,Two Conv2D layers back to back
