Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
4-ptb_word_small_sigmoid_fp16_b32_wave,PASS,1.1864971310374547e-05,2170065,1.1864971310374547e-05,2170065,182896776,-1.000001,0,780.0173425674438,Full size networks using wave scheduler
5-inceptionv3_wave_dog_sg00_tpb_upto_concat1,PASS,0.15803518638296044,3237431391,0.16262036839697913,3331361183,20485510,-1.000001,0,290.5579915046692,Full size networks using wave scheduler
5-inceptionv3_wave_dog_sg00_tpb_upto_concat2,PASS,0.07413396025558577,3849460523,0.07734559434370666,4016226990,51925737,-1.000001,0,463.44141912460327,Full size networks using wave scheduler
5-rn50_nne_to_act13_wave-no_repl,PASS,0.09420492947034702,2046893657,0.09816865758364919,2133017918,21728095,-1.000001,0,290.5733759403229,Full size networks using wave scheduler
5-rn50_nne_to_act13_wave-repl,PASS,0.04905803457167726,2046893657,0.051122180385578794,2133017918,41723923,-1.000001,0,313.61829710006714,Full size networks using wave scheduler
5-rn50_nne_to_act4_wave-no_repl,PASS,0.035528219397076934,664933897,0.036894499497880255,690504724,18715655,-1.000001,0,219.15923190116882,Full size networks using wave scheduler
5-rn50_nne_to_act4_wave-repl,PASS,0.0323942609298993,664933897,0.03364002091561909,690504724,20526287,-1.000001,0,271.39601159095764,Full size networks using wave scheduler
6-inceptionv3_wave_dog_sg00_tpb_upto_concat4,PASS,0.056434912202660434,5274111627,0.0591520287119005,5528039120,93454768,-1.000001,0,705.6787810325623,Full size networks using wave scheduler
6-inceptionv3_wave_dog_sg00_tpb_upto_concat5,PASS,0.042711335532274804,5906791141,0.04542852184225168,6282566139,138295632,-1.000001,0,818.2424478530884,Full size networks using wave scheduler
6-inceptionv3_wave_dog_sg00_tpb_upto_concat8,WAIVE_INCEPTIONV3,0.026317071097429857,8533002841,0.029270082536235222,9490482300,324238317,-1.000001,0,1502.808940410614,Full size networks using wave scheduler
6-inceptionv3_wave_dog_sg00_tpb_upto_concat9,WAIVE_INCEPTIONV3,0.027690225933067112,9040366518,0.03086129525343253,10075664279,326482223,-1.000001,0,1475.7139863967896,Full size networks using wave scheduler
6-parwavenet_10_fp16_tanh_to_add12_wave,PASS,0.05054233408136961,776791703,0.05054557798652234,776841559,15369130,-1.000001,0,219.13462495803833,Full size networks using wave scheduler
6-parwavenet_10_fp16_tanh_to_add15_wave,PASS,0.027890216246329255,895344663,0.02789176927353614,895394519,32102464,-1.000001,0,253.29830813407898,Full size networks using wave scheduler
6-parwavenet_10_fp16_tanh_to_add18_wave,PASS,0.042577404224892805,1111865823,0.042579313393266476,1111915679,26113988,-1.000001,0,256.33558082580566,Full size networks using wave scheduler
6-parwavenet_10_fp16_tanh_to_add22_wave,PASS,0.041157224844198974,1198947207,0.041158936291200016,1198997063,29130905,-1.000001,0,280.4145185947418,Full size networks using wave scheduler
6-parwavenet_10_fp16_tanh_to_add9_wave,PASS,0.03480811495718282,560356559,0.03481121190206806,560406415,16098446,-1.000001,0,189.9748673439026,Full size networks using wave scheduler
6-rn50_nne_to_act22_wave-no_repl,PASS,0.10562085160087577,3273342602,0.11128453918715563,3448868453,30991443,-1.000001,0,240.26788306236267,Full size networks using wave scheduler
6-rn50_nne_to_act22_wave-repl,PASS,0.09823038763841893,3273342602,0.10349777772882945,3448868453,33323116,-1.000001,0,324.6819689273834,Full size networks using wave scheduler
6-rn50_nne_to_act25_wave-repl,PASS,0.06875007699074703,3812739226,0.07289224014592818,4042455157,55457963,-1.000001,0,403.0829999446869,Full size networks using wave scheduler
6-rn50_nne_to_act28_wave-repl,PASS,0.05355770721741738,4197199527,0.057180445406676425,4481105538,78367797,-1.000001,0,459.3896532058716,Full size networks using wave scheduler
6-rn50_nne_to_act37_wave-repl,PASS,0.03686050587712487,5350580430,0.03993631058453717,5797056681,145157542,-1.000001,0,618.2339413166046,Full size networks using wave scheduler
6-rn50_nne_to_act40_wave-repl,PASS,0.038843685349174886,5735040731,0.042234720624856156,6235707062,147644094,-1.000001,0,709.6798548698425,Full size networks using wave scheduler
6-rn50_nne_to_act43_wave-repl,PASS,0.025235614292270524,6241207246,0.027629335407655397,6833216198,247317429,-1.000001,0,1022.3397426605225,Full size networks using wave scheduler
6-rn50_nne_to_act46_wave-no_repl,PASS,0.01971537618046371,6591457471,0.021759314621205447,7274809043,334330799,-1.000001,0,1315.8782267570496,Full size networks using wave scheduler
6-rn50_nne_to_act46_wave-repl,PASS,0.014830518681922315,6591457471,0.01636803269903536,7274809043,444452255,-1.000001,0,1614.3821487426758,Full size networks using wave scheduler
6-rn50_nne_to_act49_wave-no_repl,PASS,0.011914111218191593,6941707696,0.013243725366147365,7716401888,582645870,-1.000001,0,2093.9437193870544,Full size networks using wave scheduler
6-rn50_nne_to_act49_wave-repl,PASS,0.01584933682824328,6941707696,0.017618121934963767,7716401888,437980956,-1.000001,0,1614.3794531822205,Full size networks using wave scheduler
7-amoebanet_fp16_cell1,PASS,0.027145672824283464,2116161420,0.02775002206059065,2163273921,77955755,-1.000001,0,562.9028172492981,Full size networks
7-amoebanet_fp16_cell11,PASS,0.0037117523253798954,2768423489,0.0038985386027017765,2907738689,745853507,-1.000001,0,2716.0121324062347,Full size networks
7-amoebanet_fp16_cell5,PASS,0.030071399068515112,2352399575,0.031110720523456176,2433702721,78227141,-1.000001,0,515.6874687671661,Full size networks
7-amoebanet_fp16_cell9,PASS,0.005322016801700354,2557454913,0.005611929179573912,2696770113,480542435,-1.000001,0,1805.2963752746582,Full size networks
7-inceptionv3_wave_dog_sg00_tpb_upto_concat10,WAIVE_INCEPTIONV3,0.0198541922737708,9575229440,0.022243837839230892,10727701636,482277461,-1.000001,0,1925.051462650299,Full size networks using wave scheduler
7-inceptionv3_wave_dog_sg00_tpb_upto_concat11,WAIVE_INCEPTIONV3,0.02053542261250668,10243811360,0.023081278825095596,11513776497,498836160,-1.000001,0,2077.800585746765,Full size networks using wave scheduler
7-parwavenet_10_fp16_tanh_to_add24_wave,PASS,0.03668116445237774,1198956433,0.03668268975895653,1199006289,32685888,-1.000001,0,236.22172665596008,Full size networks using wave scheduler
7-rn50_nne_fp16_b4_wave,PASS,0.0645348191359034,27699659141,0.07175436639630337,30798435909,429220373,-1.000001,0,2067.513873577118,Full size networks using wave scheduler
7-rn50_nne_fp16_b4_wave-no_repl,PASS,0.7645932319748101,27699659141,0.8501287157204069,30798435909,36227968,-1.000001,0,2847.477911710739,Full size networks using wave scheduler
7-rn50_nne_fp16_wave-no_repl,PASS,0.014551457485333288,6944062829,0.016174848557191722,7718757021,477207375,-1.000001,0,1797.2839136123657,"Key qemu functional test - Resnet50 except softmax, batch 1 without replication (slow)"
