Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-116conv_tanh_sem_qemu_wave,PASS,0.00026477309826967023,17842,0.00053782684830677,36242,67386,-1.000001,0,202.13681602478027,Resnet-like network with 116 Conv2D and Relu layer pairs
0-116conv_tanh_wave,PASS,0.0002680830603720287,17842,0.0005445502899900833,36242,66554,-1.000001,0,223.29692673683167,Resnet-like network with 116 Conv2D and Relu layer pairs
0-11conv_tanh_wave,PASS,0.00020935203740814963,1567,0.0004231128924515698,3167,7485,-1.000001,0,189.07198214530945,Two Conv2D layers back to back
0-1avgpool_h16c128m64k1d1_valid_wave,PASS,0.012922965689496515,98305,0.012922965689496515,98305,7607,-1.000001,0,193.12826228141785,A unit test
0-1avgpool_h16c128m64k3d1_valid_wave,PASS,0.04556043645941116,484353,0.04556043645941116,484353,10631,-1.000001,0,234.29226160049438,A unit test
0-1avgpool_wave_h149c1m1k1d2_valid,PASS,0.002442821673725719,33452,0.002442821673725719,33452,13694,-1.000001,0,228.27197432518005,A unit test
0-1avgpool_wave_h17c768m768k3d1_same,PASS,0.05341425514968844,3420275,0.06585805756406854,4217089,64033,-1.000001,0,262.28032875061035,A unit test
0-1avgpool_wave_h1c192m192k1d1_valid,PASS,0.00017495451788963006,577,0.00017495451788963006,577,3298,-1.000001,0,262.28711128234863,A unit test
0-1avgpool_wave_h35c192m192k3d1_same,PASS,0.05994285033223085,4023484,0.0665772920949912,4468801,67122,-1.000001,0,340.51062512397766,A unit test
0-1avgpool_wave_h35c256m256k3d1_same,PASS,0.06062567805804177,5364645,0.06733569523551217,5958401,88488,-1.000001,0,354.56856536865234,A unit test
0-1avgpool_wave_h35c288m288k3d1_same,PASS,0.057660660373753204,6035226,0.06404250582795123,6703201,104668,-1.000001,0,360.6112172603607,A unit test
0-1avgpool_wave_h71c1m1k3d1_valid,PASS,0.0019513139219818501,90740,0.0019513139219818501,90740,46502,-1.000001,0,326.4554533958435,A unit test
0-1avgpool_wave_h8c1280m1280k3d1_same,PASS,0.033547214862787424,1025639,0.0509103130212933,1556481,30573,-1.000001,0,298.2734549045563,A unit test
0-1avgpool_wave_h8c2048m2048k3d1_same,PASS,0.034558744866800044,1641022,0.05244538275244814,2490369,47485,-1.000001,0,299.2738287448883,A unit test
0-1avgpool_wave_h8c2048m2048k3d1_same_qemu_sem,PASS,0.034539832880806545,1641022,0.05241668245248468,2490369,47511,-1.000001,0,358.4831404685974,A unit test
0-1clipbyvalue_wave,PASS,1.9341703427214118e-05,57,1.9341703427214118e-05,57,2947,-1.000001,0,332.38161540031433,A unit test
0-1concat_h16c63m127ni5,PASS,0.23371703593331608,21645937,0.23371703593331608,21645937,92616,-1.000001,0,333.3610517978668,A unit test
0-1concat_h16c63m127ni5_sem_qemu,PASS,0.17475847326352315,16922562,0.17475847326352315,16922562,96834,-1.000001,0,333.3900246620178,A unit test
0-1concat_h17c1m1ni2,PASS,0.000324154547801394,3767,0.000324154547801394,3767,11621,-1.000001,0,290.2021927833557,A unit test
0-1concat_h1c1m10ni5,PASS,1.318547311459167e-05,346,1.318547311459167e-05,346,26241,-1.000001,0,316.36161255836487,A unit test
0-1concat_h1c1m1ni2,PASS,2.284011916583913e-06,23,2.284011916583913e-06,23,10070,-1.000001,0,307.5672628879547,A unit test
0-1concat_h35c1m1ni2,PASS,0.0005496637848222863,8583,0.0005496637848222863,8583,15615,-1.000001,0,307.5809509754181,A unit test
0-1concat_h35c63m127ni5,PASS,0.8045845307736911,140151384,0.8045845307736911,140151384,174191,-1.000001,0,458.25704979896545,A unit test
0-1concat_h35c64m64ni4,PASS,0.632404672009041,49244087,0.632404672009041,49244087,77868,-1.000001,0,386.90494203567505,A unit test
0-1conv-h8r3c4m4-relu_wave,PASS,0.0030415140415140413,12455,0.004662026862026862,19091,4095,-1.000001,0,327.6190130710602,Two Conv2D layers back to back
0-1conv0_b16_wave,PASS,1.1366168932471584e-05,51,1.1366168932471584e-05,51,4487,-1.000001,0,312.5843710899353,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_c1h16_wave,PASS,0.00027644316959483684,771,0.00027644316959483684,771,2789,-1.000001,0,217.04876470565796,"Existance test for 1 conv2D layer with 1x1 filter, 16x16 image, 1 input channel"
0-1conv0_c1h2_wave,PASS,5.921831819976312e-06,15,5.921831819976312e-06,15,2533,-1.000001,0,225.05467867851257,"Existance test for 1 conv2D layer with 1x1 filter, 2x2 image, 1 input channel"
0-1conv0_ckpt_wave,PASS,2.1520803443328547e-06,6,2.1520803443328547e-06,6,2788,-1.000001,0,292.33878922462463,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r2s2_wave,PASS,0.00028529303354220416,774,0.00028529303354220416,774,2713,-1.000001,0,291.31093311309814,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h16r3s2_wave,PASS,0.0004056098329656477,1287,0.00044721084147494487,1419,3173,-1.000001,0,296.3289704322815,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_h55c256m1_wave,PASS,0.02073423821379809,2323458,0.02073423821379809,2323458,112059,-1.000001,0,388.74329590797424,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
0-1conv0_padvalid_wave,PASS,0.002056186426131998,1281804,0.002056186426131998,1281804,623389,-1.000001,0,530.7822215557098,Existence tests for 1 conv2D layer with 1x1 filter and 1x1 image. It multiplies 2 * 3 = 6.
