Test,Status,TopsRaw,OpCountRaw,TopsEff,OpCountEff,SimCycles,SimTimeSec,SimCycles/sec,TotTimeSec,Description
0-10conv_relu_wave,PASS,0.000567752312022517,1412,0.0011467631684760754,2852,2487,0.224805,11062.921198371921,14.046689987182617,Resnet-like network with 10 Conv2D and Relu layer pairs
0-116conv_tanh_wave,PASS,0.0005949118068753959,17842,0.001208429195425294,36242,29991,2.848159,10529.959879346625,26.094424724578857,Resnet-like network with 116 Conv2D and Relu layer pairs
0-11conv_tanh_wave,PASS,0.000570856102003643,1567,0.0011537340619307832,3167,2745,0.235741,11644.13487683517,15.058700561523438,Two Conv2D layers back to back
0-1avgpool_wave_h17c768m768k3d1_same,PASS,0.019030496422331775,3420275,0.023463989628656954,4217089,179726,18.453027,9739.648676610077,49.14905762672424,A unit test
0-1avgpool_wave_h1c192m192k1d1_same,PASS,0.0007425997425997426,577,0.0007425997425997426,577,777,0.076926,10100.61617658529,13.035535097122192,A unit test
0-1avgpool_wave_h1c192m192k1d1_valid,PASS,0.0007425997425997426,577,0.0007425997425997426,577,777,0.103657,7495.8758212180555,14.046005725860596,A unit test
0-1avgpool_wave_h35c192m192k3d1_same,PASS,0.019918237623762377,4023484,0.02212277722772277,4468801,202000,20.796865,9713.002416469983,51.151559352874756,A unit test
0-1avgpool_wave_h35c256m256k3d1_same,PASS,0.02024577697602802,5364645,0.02248656859489161,5958401,264976,30.576425999999998,8666.02264110266,67.17918539047241,A unit test
0-1avgpool_wave_h35c288m288k3d1_same,PASS,0.019769153414022963,6035226,0.021957190821691206,6703201,305285,38.844713000000006,7859.1132852493965,86.21005487442017,A unit test
0-1avgpool_wave_h71c192m192k3d1,PASS,0.019785938492243492,17448032,0.020853634446158033,18389569,881840,250.821693,3515.80435269608,357.5624945163727,A unit test
0-1avgpool_wave_h71c1m1k3d1_same,PASS,0.001904079451882582,90876,0.0020068305152219916,95780,47727,4.8676639999999995,9804.908473551175,20.062458038330078,A unit test
0-1avgpool_wave_h71c1m1k3d1_valid,PASS,0.0019753570184604667,90740,0.0019753570184604667,90740,45936,4.612071,9959.95074663855,19.056169033050537,A unit test
0-1avgpool_wave_h8c1280m1280k3d1_same,PASS,0.014838097855964814,1025639,0.02251788142704204,1556481,69122,7.047864,9807.510474095414,26.08306360244751,A unit test
0-1avgpool_wave_h8c2048m2048k3d1_same,PASS,0.014838255239886432,1641022,0.022518120332025243,2490369,110594,11.100184,9963.258266709812,36.10480570793152,A unit test
0-1concat_h16c63m127ni5,WAIVE_INCEPTIONV3,0,27183687,0,27183687,0,-1e-06,0,23.08429193496704,A unit test
